ə	a
ɹæɹəfaɪ	rarefy
ɹæɹəti	rarity
ɹæskl̩	rascal
ɹæskæləti	rascality
ɹæskl̩i	rascally
ɹæʃ	rash
ɹæʃɚ	rasher
ɹæsp	rasp
ɹæzbɛɹi	raspberry
ɹæt	rat
ɹæʧət	ratchet
ɹeɪt	rate
ɹæðɚ	rather
ɹætəfəkeɪʃən	ratification
ɹætəfaɪ	ratify
ɹeɪtɪŋ	rating
ɹeɪʃoʊ	ratio
ɹætioʊsn̩eɪʃən	ratiocination
ɹæʃən	ration
ɹæʃn̩l̩	rational
ɹæʃn̩æl	rationale
ɹæʃn̩əlɪzm̩	rationalism
ɹæʃn̩əlɪstɪk	rationalistic
ɹæʃn̩æləti	rationality
ɹæʃn̩l̩aɪz	rationalize
ɹætlən	ratline
ɹætæn	rattan
ɹætl̩	rattle
ɹætlɚ	rattler
ɹætl̩sneɪk	rattlesnake
ɹætlɪŋ	rattling
ɹættɹæp	rattrap
ɹɔkəs	raucous
ɹaʊwʊlfiə	rauwolfia
ɹævɪʤ	ravage
ɹeɪv	rave
ɹævl̩	ravel
ɹeɪvən	raven
ɹævənɪŋ	ravening
ɹævənəs	ravenous
ɹəvin	ravine
ɹævioʊli	ravioli
ɹævɪʃ	ravish
ɹɔ	raw
ɹeɪ	ray
ɹeɪɑn	rayon
ɹeɪz	raze
ɹeɪzɚ	razor
ɹeɪzɚbæk	razorback
ɹæz	razz
ɹiʧ	reach
ɹiækt	react
ɹiækʃən	reaction
ɹiæktɪv	reactive
ɹid	read
ɹidəbɪləti	readability
ɹidəbl̩	readable
ɹidɪŋ	reading
ɹɛdi	ready
ɹieɪʤənt	reagent
ɹil̩	real
ɹiəlɪzm̩	realism
ɹiəlɪstɪk	realistic
ɹiæləti	reality
ɹil̩əzeɪʃən	realization
ɹiəlaɪz	realize
ɹili	really
ɹɛlm	realm
ɹil̩tɚ	realtor
ɹil̩ti	realty
ɹim	ream
ɹimɚ	reamer
ɹip	reap
ɹɪɹ	rear
ɹɪɹwɚd	rearward
ɹizn̩	reason
ɹizn̩əbl̩	reasonable
ɹiəʃʊɹ	reassure
ɹibeɪt	rebate
ɹɛbl̩	rebel
ɹɪbɛljən	rebellion
ɹibɝθ	rebirth
ɹibaʊnd	rebound
ɹɪbʌf	rebuff
ɹɪbjuk	rebuke
ɹibəs	rebus
ɹɪbʌt	rebut
ɹɪbʌtl̩	rebuttal
ɹɪkælsətɹənt	recalcitrant
ɹɪkɔl	recall
ɹɪkænt	recant
ɹɪkænteɪʃən	recantation
ɹɪkæp	recap
ɹɪkəpɪʧəleɪt	recapitulate
ɹɪsid	recede
ɹɪsit	receipt
ɹɪsivəbl̩	receivable
ɹɪsiv	receive
ɹisn̩si	recency
ɹisn̩t	recent
ɹɪsɛptɪkl̩	receptacle
ɹɪsɛpʃən	reception
ɹɪsɛptɪv	receptive
ɹɪsɛptɪvəti	receptivity
ɹɪsɛptɚ	receptor
ɹisɛs	recess
ɹɪsɛʃən	recession
ɹɪsɛsɪv	recessive
ɹɛsəpi	recipe
ɹɪsɪpiənt	recipient
ɹɪsɪpɹəkl̩	reciprocal
ɹɛsəpɹɑsəti	reciprocity
ɹɪsaɪtl̩	recital
ɹɛsəteɪʃən	recitation
ɹɪsaɪt	recite
ɹɛkləs	reckless
ɹɛkən	reckon
ɹɪkleɪm	reclaim
ɹɛkləmeɪʃən	reclamation
ɹɪklaɪn	recline
ɹɛklus	recluse
ɹɛkəgnɪʃən	recognition
ɹɪkɑgnəzəns	recognizance
ɹɛkəgnaɪz	recognize
ɹɪkɔɪl	recoil
ɹɪkɔɪləs	recoilless
ɹɛkəlɛkt	recollect
ɹɛkəmɛnd	recommend
ɹɛkəmpɛns	recompense
ɹɛkənsaɪl	reconcile
ɹɛkənsɪlieɪʃən	reconciliation
ɹɛkəndaɪt	recondite
ɹɪkɑnəzəns	reconnaissance
ɹɪkənɔɪtɚ	reconnoiter
ɹɪkənsɪdɚ	reconsider
ɹikɑnstətut	reconstitute
ɹɪkənstɹʌkt	reconstruct
ɹɪkɔɹd	record
ɹɪkɔɹdɚ	recorder
ɹɪkɔɹdɪŋ	recording
ɹɪkaʊnt	recount
ɹɪkup	recoup
ɹikoɹs	recourse
ɹɪkʌvɚ	recover
ɹɛkɹiənt	recreant
ɹikɹieɪt	recreate
ɹɛkɹieɪʃən	recreation
ɹɛkɹieɪtɪv	recreative
ɹɪkɹɪməneɪt	recriminate
ɹɪkɹut	recruit
ɹɛktl̩	rectal
ɹɛktæŋgl̩	rectangle
ɹɛktæŋgjʊlɚ	rectangular
ɹɛktəfəkeɪʃən	rectification
ɹɛktəfaɪɚ	rectifier
ɹɛktəfaɪ	rectify
ɹɛktəlɪniɚ	rectilinear
ɹɛktətud	rectitude
ɹɛktoʊ	recto
ɹɛktɚ	rector
ɹɛktoɹil̩	rectorial
ɹɛktɚi	rectory
ɹɛktəm	rectum
ɹɪkʌmbənt	recumbent
ɹɪkupɚeɪt	recuperate
ɹɪkɝ	recur
ɹɛd	red
ɹɛdbɹɛst	redbreast
ɹɛdn̩	redden
ɹɛdɪʃ	reddish
ɹɪdim	redeem
ɹɪdɛmpʃən	redemption
ɹɪdɪstɹɪkt	redistrict
ɹɛdl̩ənt	redolent
ɹɪdaʊt	redoubt
ɹɪdaʊtəbl̩	redoubtable
ɹɪdaʊnd	redound
ɹɪdɹɛs	redress
ɹɛdskɪn	redskin
ɹɪdus	reduce
ɹɪdʌkʃən	reduction
ɹɪdʌndənsi	redundancy
ɹɛdwʊd	redwood
ɹid	reed
ɹif	reef
ɹifɚ	reefer
ɹik	reek
ɹil	reel
ɹiv	reeve
ɹɪfɛkʃən	refection
ɹɪfɛktɚi	refectory
ɹɪfɝ	refer
ɹəfɝəbl̩	referable
ɹɛfɚi	referee
ɹɛfɚns	reference
ɹɛfɚɛndəm	referendum
ɹifɪl	refill
ɹɪfaɪn	refine
ɹɪfaɪnmənt	refinement
ɹɪfaɪnɚi	refinery
ɹɪflɛkt	reflect
ɹiflɛks	reflex
ɹɪflɛksɪv	reflexive
ɹɪfɔɹəst	reforest
ɹɪfɔɹəsteɪʃən	reforestation
ɹɪfɔɹm	reform
ɹɛfɚmeɪʃən	reformation
ɹɪfɔɹmətoɹi	reformatory
ɹɪfɔɹmɚ	reformer
ɹɪfɹækt	refract
ɹɪfɹækʃən	refraction
ɹɪfɹæktɚi	refractory
ɹɪfɹeɪn	refrain
ɹɪfɹɛʃ	refresh
ɹɪfɹɪʤɚeɪt	refrigerate
ɹɛfjuʤ	refuge
ɹɛfjʊʤi	refugee
ɹɪfʊlʤəns	refulgence
ɹɪfʌnd	refund
ɹɪfɝbɪʃ	refurbish
ɹɪfjuz	refuse
ɹɛfjʊteɪʃən	refutation
ɹɪfjut	refute
ɹɪfjutɚ	refuter
ɹɪgeɪn	regain
ɹigl̩	regal
ɹɪgeɪl	regale
ɹɪgeɪljə	regalia
ɹɪgɑɹd	regard
ɹɪgɑtə	regatta
ɹiʤənsi	regency
ɹiʤɛnɚeɪt	regenerate
ɹiʤənt	regent
ɹɛʤəsaɪdl̩	regicidal
ɹɛʤəsaɪd	regicide
ɹeɪƷim	regime
ɹɛʤəmən	regimen
ɹɛʤəmənt	regiment
ɹɛʤəmɛntl̩	regimental
ɹɛʤəmɛntl̩z	regimentals
ɹɛʤəmənteɪʃən	regimentation
ɹiʤən	region
ɹiʤn̩l̩	regional
ɹɛʤəstɚ	register
ɹɛʤəstɹeɪʃən	registration
ɹɛʤəstɹi	registry
ɹɛgnl̩	regnal
ɹɪgɹɛs	regress
ɹɪgɹɛt	regret
ɹɛgjʊlɚ	regular
ɹɛgjʊlæɹəti	regularity
ɹɛgjʊlɚaɪz	regularize
ɹɛgjʊleɪt	regulate
ɹɛgjʊleɪʃən	regulation
ɹɪgɝʤəteɪt	regurgitate
ɹɪhəbɪləteɪt	rehabilitate
ɹɪhæʃ	rehash
ɹɪhɪɹɪŋ	rehearing
ɹɪhɝsl̩	rehearsal
ɹɪhɝs	rehearse
ɹeɪn	reign
ɹiəmbɝs	reimburse
ɹeɪn	rein
ɹiɪnkɑɹneɪt	reincarnate
ɹiɪnkɑɹneɪʃən	reincarnation
ɹeɪndɪɹ	reindeer
ɹiənfoɹs	reinforce
ɹiənsteɪt	reinstate
ɹiɪtɚeɪt	reiterate
ɹɪʤɛkt	reject
ɹɪʤɔɪs	rejoice
ɹɪʤɔɪndɚ	rejoinder
ɹɪʤuvəneɪt	rejuvenate
ɹilæps	relapse
ɹɪleɪt	relate
ɹɪleɪʃən	relation
ɹɛlətɪv	relative
ɹɛlətɪvəti	relativity
ɹɪleɪtɚ	relator
ɹɪlæks	relax
ɹɪlækseɪʃən	relaxation
ɹileɪ	relay
ɹɪlis	release
ɹɛləgeɪt	relegate
ɹɛləgeɪʃən	relegation
ɹɪlɛnt	relent
ɹɛləvəns	relevance
ɹɪlaɪəbl̩	reliable
ɹɪlaɪəns	reliance
ɹɛlɪk	relic
ɹɛlɪkt	relict
ɹɪlif	relief
ɹɪliv	relieve
ɹɪlɪʤən	religion
ɹɪlɪʤəs	religious
ɹɪlɪŋkwɪʃ	relinquish
ɹɛləkwɛɹi	reliquary
ɹɛlɪk	relique
ɹɛlɪʃ	relish
ɹɪlʌktəns	reluctance
ɹɪlaɪ	rely
ɹɪmeɪn	remain
ɹɪmænd	remand
ɹɪmɑɹk	remark
ɹɪmɑɹkəbl̩	remarkable
ɹɪmidiəbl̩	remediable
ɹɪmidil̩	remedial
ɹɛmədi	remedy
ɹɪmɛmbɚ	remember
ɹɪmaɪnd	remind
ɹɛmənɪs	reminisce
ɹɪmɪs	remiss
ɹɪmɪʃən	remission
ɹɪmɪt	remit
ɹɪmɪtn̩s	remittance
ɹɛmnənt	remnant
ɹɪmɑdl̩	remodel
ɹɪmɑnstɹəns	remonstrance
ɹɪmɑnstɹeɪt	remonstrate
ɹɪmɑnstɹeɪʃən	remonstration
ɹɪmɑnstɹətɪv	remonstrative
ɹɪmɑnstɹeɪtɚ	remonstrator
ɹɪmɔɹs	remorse
ɹɪmoʊt	remote
ɹɪmaʊnt	remount
ɹɪmuv	remove
ɹɪmjunɚeɪt	remunerate
ɹɛnəsɑns	renaissance
ɹinl̩	renal
ɹɪnæsn̩s	renascence
ɹɛnkaʊntɚ	rencounter
ɹɛnd	rend
ɹɛndɚ	render
ɹɑndɪvu	rendezvous
ɹɛndɪʃən	rendition
ɹɛnɪgeɪd	renegade
ɹɪnɪg	renege
ɹɪnu	renew
ɹɪnaʊns	renounce
ɹɛnəveɪt	renovate
ɹɛnəveɪʃən	renovation
ɹɛnəveɪtɚ	renovator
ɹɪnaʊn	renown
ɹɛnt	rent
ɹɛntl̩	rental
ɹɪnʌnsieɪʃən	renunciation
ɹiɔɹgənaɪz	reorganize
ɹɪpæɹ	repair
ɹɛpɚeɪʃən	reparation
ɹɪpæɹətɪv	reparative
ɹɛpɚti	repartee
ɹɪpæst	repast
ɹipeɪ	repay
ɹɪpil	repeal
ɹɪpit	repeat
ɹɪpɛl	repel
ɹɪpɛnt	repent
ɹɪpɛntn̩s	repentance
ɹipɚkʌʃən	repercussion
ɹɛpɚtwɑɹ	repertoire
ɹɛpətɪʃən	repetition
ɹɪpɛtətɪv	repetitive
ɹɪpaɪn	repine
ɹɪpleɪs	replace
ɹɪpleɪsmənt	replacement
ɹɪplɛnɪʃ	replenish
ɹɪplit	replete
ɹɪpliʃən	repletion
ɹɛplɪkə	replica
ɹɪplaɪ	reply
ɹɪpoɹt	report
ɹɛpɚtoɹil̩	reportorial
ɹɪpoʊz	repose
ɹɪpɑzətoɹi	repository
ɹipəzɛs	repossess
ɹɛpɹɪhɛnd	reprehend
ɹɛpɹizɛnt	represent
ɹɪpɹɛs	repress
ɹɪpɹiv	reprieve
ɹɛpɹəmænd	reprimand
ɹɪpɹaɪzl̩	reprisal
ɹɪpɹoʊʧ	reproach
ɹɛpɹəbeɪt	reprobate
ɹɛpɹəbeɪʃən	reprobation
ɹɪpɹədus	reproduce
ɹɪpɹuf	reproof
ɹɪpɹuv	reprove
ɹɛptl̩	reptile
ɹɛptɪliən	reptilian
ɹɪpʌblɪk	republic
ɹɪpjudieɪt	repudiate
ɹɪpʌgnəns	repugnance
ɹɪpʌls	repulse
ɹɪpʌlʃən	repulsion
ɹɪpʌlsɪv	repulsive
ɹɛpjutəbl̩	reputable
ɹɛpjuteɪʃən	reputation
ɹɪpjut	repute
ɹɪpjutəd	reputed
ɹɪkwɛst	request
ɹɛkwiəm	requiem
ɹɪkwaɪɹ	require
ɹɛkwəzət	requisite
ɹɛkwəzɪʃən	requisition
ɹɪkwaɪt	requite
ɹɪɹʌn	rerun
ɹiseɪləbl̩	resalable
ɹiseɪl	resale
ɹɪsɪnd	rescind
ɹiskɹɪpt	rescript
ɹɛskju	rescue
ɹisɚʧ	research
ɹɪzɛmbləns	resemblance
ɹɪzɛnt	resent
ɹɪsɝpən	reserpine
ɹɛzɚveɪʃən	reservation
ɹɪzɝv	reserve
ɹɪzɝvd	reserved
ɹɪzɝvəst	reservist
ɹɛzɚvwɑɹ	reservoir
ɹɪzaɪd	reside
ɹɛzədəns	residence
ɹɛzədɛnʧl̩	residential
ɹɪzɪʤul̩	residual
ɹɪzɪʤʊɛɹi	residuary
ɹɛzədu	residue
ɹɪzɪʤʊəm	residuum
ɹɪzaɪn	resign
ɹɛzɪgneɪʃən	resignation
ɹɪzaɪnd	resigned
ɹɪzɪljənt	resilient
ɹɛzn̩	resin
ɹɪzɪst	resist
ɹɪzɪstɚ	resistor
ɹɛzəlut	resolute
ɹɛzəluʃən	resolution
ɹɪzɑlv	resolve
ɹɛzn̩əns	resonance
ɹɪzɔɹt	resort
ɹɪzaʊnd	resound
ɹisoɹs	resource
ɹɪspɛkt	respect
ɹɪspɛktəbl̩	respectable
ɹɪspɛktɪv	respective
ɹɛspɚeɪʃən	respiration
ɹɛspɚeɪtɚ	respirator
ɹɛspɚətoɹi	respiratory
ɹɪspaɪɹ	respire
ɹɛspət	respite
ɹɪsplɛndənt	resplendent
ɹɪspɑnd	respond
ɹɪspɑndənt	respondent
ɹɪspɑns	response
ɹɪspɑnsəbɪləti	responsibility
ɹɪspɑnsəbl̩	responsible
ɹɛst	rest
ɹɛstɹɑnt	restaurant
ɹɛstɚətɝ	restaurateur
ɹɛstətuʃən	restitution
ɹɛstɪv	restive
ɹɛstləs	restless
ɹɛstɚeɪʃən	restoration
ɹɪstoɹətɪv	restorative
ɹɪstoɹ	restore
ɹɪstɹeɪn	restrain
ɹɪstɹeɪnt	restraint
ɹɪstɹɪkt	restrict
ɹɪstɹɪkʃən	restriction
ɹɪzʌlt	result
ɹɪzum	resume
ɹɛzɚɛkt	resurrect
ɹɪsʌsəteɪt	resuscitate
ɹiteɪl	retail
ɹɪteɪn	retain
ɹiteɪk	retake
ɹɪtælieɪt	retaliate
ɹɪtɑɹd	retard
ɹɛʧ	retch
ɹɪtɛnʧən	retention
ɹɪtɛntɪv	retentive
ɹɛtəsənt	reticent
ɹɛtn̩ə	retina
ɹɛtn̩u	retinue
ɹɪtaɪɹ	retire
ɹɪtɔɹt	retort
ɹɪtʌʧ	retouch
ɹɪtɹeɪs	retrace
ɹɪtɹækt	retract
ɹɪtɹɛd	retread
ɹɪtɹit	retreat
ɹɪtɹɛnʧ	retrench
ɹɛtɹəbjuʃən	retribution
ɹɪtɹɪbjʊtɪv	retributive
ɹɪtɹiv	retrieve
ɹɛtɹoʊgɹeɪd	retrograde
ɹɛtɹəgɹɛʃən	retrogression
ɹɛtɹoʊspɛkt	retrospect
ɹɛtɹoʊspɛkʃən	retrospection
ɹɪtɝn	return
ɹijunjən	reunion
ɹɛv	rev
ɹivæmp	revamp
ɹɪvil	reveal
ɹɛvl̩i	reveille
ɹɛvl̩	revel
ɹɛvəleɪʃən	revelation
ɹɪvɛnʤ	revenge
ɹɛvənu	revenue
ɹɪvɝbɚeɪt	reverberate
ɹɪvɪɹ	revere
ɹɛvɚəns	reverence
ɹɛvɚɛnʧl̩	reverential
ɹɪvɪɹ	revers
ɹɪvɝsl̩	reversal
ɹɪvɝs	reverse
ɹɪvɝƷən	reversion
ɹɪvɝt	revert
ɹɛvɚi	revery
ɹɪvju	review
ɹɪvaɪl	revile
ɹɪvaɪz	revise
ɹivaɪtl̩əzeɪʃən	revitalization
ɹivaɪtəlaɪz	revitalize
ɹɪvaɪvl̩	revival
ɹɪvaɪv	revive
ɹivɪvəfaɪ	revivify
ɹɛvəkəbl̩	revocable
ɹɛvəkeɪʃən	revocation
ɹɪvoʊk	revoke
ɹɪvoʊlt	revolt
ɹɛvəluʃən	revolution
ɹɪvɑlv	revolve
ɹɪvju	revue
ɹɪvʌlʃən	revulsion
ɹɪwɔɹd	reward
ɹæpsɑdɪk	rhapsodic
ɹæpsədaɪz	rhapsodize
ɹæpsədi	rhapsody
ɹiniəm	rhenium
ɹiəstæt	rheostat
ɹisəs	rhesus
ɹɛtɚɪk	rhetoric
ɹɪtɔɹɪkl̩	rhetorical
ɹɛtəɹɪʃən	rhetorician
ɹum	rheum
ɹumætək	rheumatic
ɹumətɪzm̩	rheumatism
ɹaɪnstoʊn	rhinestone
ɹaɪnɑsɚəs	rhinoceros
ɹaɪzoʊmətəs	rhizomatous
ɹaɪzoʊm	rhizome
ɹoʊdiəm	rhodium
ɹoʊdədɛndɹən	rhododendron
ɹɑmbɔɪd	rhomboid
ɹɑmbəs	rhombus
ɹubɑɹb	rhubarb
ɹaɪm	rhyme
ɹɪðm̩	rhythm
ɹɪðmɪk	rhythmic
ɹiɔl	rial
ɹɪb	rib
ɹɪbɔld	ribald
ɹɪbənd	riband
ɹɪbən	ribbon
ɹaɪboʊfleɪvən	riboflavin
ɹaɪs	rice
ɹɪʧ	rich
ɹɪʧəz	riches
ɹɪk	rick
ɹɪkəts	rickets
ɹɪkəʃeɪ	ricochet
ɹɪd	rid
ɹɪdn̩s	riddance
ɹɪdn̩	ridden
ɹɪdl̩	riddle
ɹaɪd	ride
ɹaɪdɚ	rider
ɹɪʤ	ridge
ɹɪʤpoʊl	ridgepole
ɹɪdəkjul	ridicule
ɹədɪkjʊləs	ridiculous
ɹaɪdɪŋ	riding
ɹiɛl	riel
ɹaɪf	rife
ɹɪfɹæf	riffraff
ɹaɪfl̩	rifle
ɹɪft	rift
ɹɪg	rig
ɹɪgɪŋ	rigging
ɹaɪt	right
ɹaɪʧəs	righteous
ɹaɪtfl̩	rightful
ɹɪʤəd	rigid
ɹəʤɪdəti	rigidity
ɹɪʤədli	rigidly
ɹɪgəmɚoʊl	rigmarole
ɹɪgɚ	rigor
ɹaɪl	rile
ɹɪl	rill
ɹɪm	rim
ɹaɪm	rime
ɹaɪmi	rimy
ɹaɪnd	rind
ɹɪŋ	ring
ɹɪŋlidɚ	ringleader
ɹɪŋlət	ringlet
ɹɪŋk	rink
ɹɪns	rinse
ɹaɪət	riot
ɹɪp	rip
ɹəpɛɹiən	riparian
ɹaɪp	ripe
ɹaɪpən	ripen
ɹɪpoʊst	riposte
ɹɪpl̩	ripple
ɹɪpsɔ	ripsaw
ɹaɪz	rise
ɹɪzn̩	risen
ɹaɪzɚ	riser
ɹɪzəbɪləti	risibility
ɹɪzəbl̩	risible
ɹaɪzɪŋ	rising
ɹɪsk	risk
ɹɪskeɪ	risque
ɹaɪt	rite
ɹɪʧul̩	ritual
ɹɪʧuəlɪstɪk	ritualistic
ɹɪʧʊl̩i	ritually
ɹaɪvl̩	rival
ɹaɪvl̩ɹi	rivalry
ɹaɪv	rive
ɹɪvən	riven
ɹɪvɚ	river
ɹɪvət	rivet
ɹaɪvɪŋ	riving
ɹɪvjʊlət	rivulet
ɹijɔl	riyal
ɹoʊʧ	roach
ɹoʊd	road
ɹoʊdəbɪləti	roadability
ɹoʊdbɛd	roadbed
ɹoʊm	roam
ɹoʊn	roan
ɹoɹ	roar
ɹoʊst	roast
ɹɑb	rob
ɹɑbɚi	robbery
ɹoʊb	robe
ɹɑbən	robin
ɹoʊbɑt	robot
ɹoʊbʌst	robust
ɹɑk	rock
ɹɑkɚ	rocker
ɹɑkət	rocket
ɹɑd	rod
ɹoʊd	rode
ɹoʊdn̩t	rodent
ɹoʊdioʊ	rodeo
ɹoʊ	roe
ɹoʊbʌk	roebuck
ɹoʊgeɪʃən	rogation
ɹɑʤɚ	roger
ɹoʊg	rogue
ɹoʊgɚi	roguery
ɹoʊgɪʃ	roguish
ɹɔɪstɚ	roister
ɹoʊl	role
ɹoʊl	roll
ɹoʊlɚ	roller
ɹɑlɪk	rollick
ɹoʊmən	roman
ɹoʊmæns	romance
ɹoʊmæntɪk	romantic
ɹoʊmæntəsɪzm̩	romanticism
ɹɑmp	romp
ɹud	rood
ɹuf	roof
ɹʊk	rook
ɹʊki	rookie
ɹum	room
ɹumɛt	roomette
ɹummeɪt	roommate
ɹust	roost
ɹut	root
ɹutlət	rootlet
ɹoʊp	rope
ɹoʊzɚi	rosary
ɹoʊz	rose
ɹoʊziət	roseate
ɹoʊzmɛɹi	rosemary
ɹoʊzɛt	rosette
ɹoʊzwʊd	rosewood
ɹɑzn̩	rosin
ɹɑstɚ	roster
ɹɑstɹəm	rostrum
ɹoʊzi	rosy
ɹɑt	rot
ɹoʊtɚi	rotary
ɹoʊteɪt	rotate
ɹoʊteɪʃən	rotation
ɹoʊteɪtɚ	rotator
ɹoʊtətoɹi	rotatory
ɹoʊt	rote
ɹoʊtəgɹəvjʊɹ	rotogravure
ɹoʊtɚ	rotor
ɹɑtn̩	rotten
ɹoʊtʌnd	rotund
ɹoʊtʌndə	rotunda
ɹubl̩	rouble
ɹʊeɪ	roue
ɹuƷ	rouge
ɹʌf	rough
ɹʌfɪʤ	roughage
ɹʌfən	roughen
ɹʌfhju	roughhew
ɹulɛt	roulette
ɹaʊnd	round
ɹaʊndəbaʊt	roundabout
ɹaʊndəleɪ	roundelay
ɹaʊndhaʊs	roundhouse
ɹaʊndʌp	roundup
ɹaʊz	rouse
ɹaʊstəbaʊt	roustabout
ɹaʊt	rout
ɹut	route
ɹutin	routine
ɹoʊv	rove
ɹoʊvɚ	rover
ɹoʊ	row
ɹoʊboʊt	rowboat
ɹaʊdi	rowdy
ɹaʊl̩	rowel
ɹɔɪl̩	royal
ɹʌb	rub
ɹʌbɚ	rubber
ɹʌbɪʃ	rubbish
ɹʌbl̩	rubble
ɹubɪkʌnd	rubicund
ɹubɪdiəm	rubidium
ɹubl̩	ruble
ɹubɹɪk	rubric
ɹubi	ruby
ɹʌdɚ	rudder
ɹʌdi	ruddy
ɹud	rude
ɹudəmənt	rudiment
ɹudəmɛntɚi	rudimentary
ɹu	rue
ɹʌf	ruff
ɹʌft	ruffed
ɹʌfiən	ruffian
ɹʌfl̩	ruffle
ɹʌg	rug
ɹʌgəd	rugged
ɹuɪn	ruin
ɹuəneɪʃən	ruination
ɹuənəs	ruinous
ɹul	rule
ɹulɚ	ruler
ɹʌm	rum
ɹʌmbə	rumba
ɹʌmbl̩	rumble
ɹumənənt	ruminant
ɹuməneɪt	ruminate
ɹuməneɪʃən	rumination
ɹʌmɪʤ	rummage
ɹʌmi	rummy
ɹumɚ	rumor
ɹʌmp	rump
ɹʌmpl̩	rumple
ɹʌmpəs	rumpus
ɹʌmɹʌnɚ	rumrunner
ɹʌn	run
ɹʌnəbaʊt	runabout
ɹʌnəgeɪt	runagate
ɹʌnɚaʊnd	runaround
ɹʌnəweɪ	runaway
ɹʌndaʊn	rundown
ɹun	rune
ɹʌŋ	rung
ɹunɪk	runic
ɹʌnlət	runlet
ɹʌnl̩	runnel
ɹʌnɪŋ	running
ɹʌni	runny
ɹʌnɔf	runoff
ɹʌnt	runt
ɹʌnweɪ	runway
ɹupi	rupee
ɹupiə	rupiah
ɹʌpʧɚ	rupture
ɹʊɹl̩	rural
ɹus	ruse
ɹʌʃ	rush
ɹʌsk	rusk
ɹʌsət	russet
ɹʌst	rust
ɹʌstɪk	rustic
ɹʌstɪkəli	rustically
ɹʌstɪkeɪt	rusticate
ɹʌstɪkeɪʃən	rustication
ɹʌstəkeɪtɚ	rusticator
ɹʌstɪsəti	rusticity
ɹʌsl̩	rustle
ɹʌt	rut
ɹutəbeɪgə	rutabaga
ɹuθiniəm	ruthenium
ɹuθləs	ruthless
ɹaɪ	rye
ɛs	s
seɪbl̩	sable
sæbətɑƷ	sabotage
seɪbɚ	sabre
sæk	sac
sækɚən	saccharin
sæsɚdoʊtl̩	sacerdotal
seɪʧm̩	sachem
sæʃeɪ	sachet
sæk	sack
sækɹəmənt	sacrament
sækɹəmɛntl̩	sacramental
seɪkɹəd	sacred
sækɹəfaɪs	sacrifice
sækɹəfɪʃl̩	sacrificial
sækɹl̩ɪʤ	sacrilege
sækɹəlɪʤəs	sacrilegious
sækɹəstən	sacristan
sækɹoʊsæŋkt	sacrosanct
sæd	sad
sædn̩	sadden
sædl̩	saddle
sædaɪɹn	sadiron
seɪdɪzm̩	sadism
sədɪstɪk	sadistic
seɪf	safe
seɪfti	safety
sæfɹən	saffron
sæg	sag
sɑgə	saga
səgeɪʃəs	sagacious
sægəmoɹ	sagamore
seɪʤ	sage
seɪgoʊ	sago
sɛd	said
seɪl	sail
seɪlɚ	sailor
seɪnt	saint
seɪk	sake
sɑki	saki
səleɪʃəs	salacious
sæləd	salad
sæləmændɚ	salamander
səlɑmi	salami
sælɚi	salary
seɪl	sale
seɪlzgɝl	salesgirl
seɪljənt	salient
seɪlin	saline
səlaɪvə	saliva
sæləvɛɹi	salivary
sæloʊ	sallow
sæli	sally
sæmən	salmon
səlun	saloon
sɔlt	salt
sɔltpitɚ	saltpetre
sɔltwɔtɚ	saltwater
səlubɹiəs	salubrious
sæljutɛɹi	salutary
sæljuteɪʃən	salutation
səlut	salute
sælvɪʤ	salvage
sælveɪʃən	salvation
sæv	salve
sælvɚ	salver
sælvoʊ	salvo
səmɛɹiəm	samarium
seɪm	same
sæmpl̩	sample
sænətoɹiəm	sanatorium
sæŋktɪfəkeɪʃən	sanctification
sæŋktəfaɪ	sanctify
sæŋktəmoʊniəs	sanctimonious
sæŋkʃən	sanction
sæŋktəti	sanctity
sæŋkʧuɛɹi	sanctuary
sæŋktəm	sanctum
sænd	sand
sændl̩	sandal
sændbæŋk	sandbank
sændhɔg	sandhog
sændmæn	sandman
sændwɪʧ	sandwich
seɪn	sane
sæŋ	sang
sæŋgwənɛɹi	sanguinary
sæŋgwən	sanguine
sænətɛɹiəm	sanitarium
sænətɛɹi	sanitary
sænəteɪʃən	sanitation
sænətaɪz	sanitize
sænəti	sanity
sæŋk	sank
sænz	sans
sæp	sap
seɪpiənt	sapient
sæplɪŋ	sapling
sæfaɪɹ	sapphire
sæpi	sappy
sæpsʌkɚ	sapsucker
sɑɹkæzm̩	sarcasm
sɑɹkæstɪk	sarcastic
sɑɹkɑfəgəs	sarcophagus
sɑɹdin	sardine
sɑɹdɑnɪk	sardonic
sæspɚɪlə	sarsaparilla
sæʃ	sash
sæsəfɹæs	sassafras
sæsi	sassy
sæt	sat
sətɑŋ	satang
sæʧl̩	satchel
seɪt	sate
sætin	sateen
sætəlaɪt	satellite
seɪʃieɪt	satiate
sətaɪəti	satiety
sætn̩	satin
sætaɪɹ	satire
sətɪɹɪk	satiric
sætɚəst	satirist
sætəsfækʃən	satisfaction
sætəsfaɪ	satisfy
seɪtɹæp	satrap
sæʧɚeɪt	saturate
sæʧɚeɪʃən	saturation
sætɚnaɪn	saturnine
seɪtɚ	satyr
sɔs	sauce
sɔspæn	saucepan
sɔsɚ	saucer
sæsi	saucy
saʊɚkɹaʊt	sauerkraut
sɔntɚ	saunter
sɔsɪʤ	sausage
sɔteɪ	saute
soʊtɝn	sauterne
sævɪʤ	savage
